[ 2023-09-07 21:18:20,077 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-09-07 21:18:21,680 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 21:18:21,726 ] 33 root - INFO - Train test split initiated
[ 2023-09-07 21:18:21,771 ] 40 root - INFO - Ingestion of the data is completed
[ 2023-09-07 21:18:21,771 ] 21 root - INFO - Entered the data cleaning method or component
[ 2023-09-07 21:18:21,823 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 21:18:21,841 ] 33 root - INFO - processing the training dataset as dataframe
[ 2023-09-07 21:18:22,115 ] 76 root - INFO - processingthe test dataset as dataframe
[ 2023-09-07 21:18:22,116 ] 90 root - INFO - ended the loop
[ 2023-09-07 21:18:22,123 ] 105 root - INFO - ended the loop
[ 2023-09-07 21:18:22,123 ] 107 root - INFO - returning done
[ 2023-09-07 21:18:22,123 ] 110 root - INFO - directory created
[ 2023-09-07 21:18:22,157 ] 114 root - INFO - df1 saved
[ 2023-09-07 21:18:22,170 ] 116 root - INFO - df2 saved
[ 2023-09-07 21:18:22,170 ] 118 root - INFO - Train test data cleaned
[ 2023-09-07 21:18:22,199 ] 81 root - INFO - Read train and test data completed
[ 2023-09-07 21:18:22,199 ] 83 root - INFO - Obtaining preprocessing object
[ 2023-09-07 21:18:22,199 ] 55 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-09-07 21:18:22,199 ] 56 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-09-07 21:18:22,199 ] 68 root - INFO - Train test split initiated
[ 2023-09-07 21:18:22,199 ] 93 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-09-07 21:18:22,231 ] 99 root - INFO - Saved preprocessing object.
[ 2023-09-07 21:18:22,248 ] 35 root - INFO - Split training and test input data
[ 2023-09-07 21:25:22,515 ] 110 root - INFO - Best found model on both training and testing dataset
[ 2023-09-07 21:25:22,544 ] 134 root - INFO - mlflow starts
