[ 2023-09-07 17:20:59,388 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-09-07 17:21:01,798 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 17:21:01,858 ] 33 root - INFO - Train test split initiated
[ 2023-09-07 17:21:01,920 ] 40 root - INFO - Ingestion of the data is completed
[ 2023-09-07 17:21:01,922 ] 21 root - INFO - Entered the data cleaning method or component
[ 2023-09-07 17:21:02,005 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 17:21:02,046 ] 33 root - INFO - processing the training dataset as dataframe
[ 2023-09-07 17:21:02,508 ] 76 root - INFO - processingthe test dataset as dataframe
[ 2023-09-07 17:21:02,508 ] 90 root - INFO - ended the loop
[ 2023-09-07 17:21:02,524 ] 105 root - INFO - ended the loop
[ 2023-09-07 17:21:02,524 ] 107 root - INFO - returning done
[ 2023-09-07 17:21:02,524 ] 110 root - INFO - directory created
[ 2023-09-07 17:21:02,569 ] 114 root - INFO - df1 saved
[ 2023-09-07 17:21:02,577 ] 116 root - INFO - df2 saved
[ 2023-09-07 17:21:02,577 ] 118 root - INFO - Train test data cleaned
[ 2023-09-07 17:21:02,638 ] 81 root - INFO - Read train and test data completed
[ 2023-09-07 17:21:02,638 ] 83 root - INFO - Obtaining preprocessing object
[ 2023-09-07 17:21:02,638 ] 55 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-09-07 17:21:02,638 ] 56 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-09-07 17:21:02,638 ] 68 root - INFO - Train test split initiated
[ 2023-09-07 17:21:02,638 ] 93 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-09-07 17:21:02,694 ] 99 root - INFO - Saved preprocessing object.
[ 2023-09-07 17:21:02,713 ] 35 root - INFO - Split training and test input data
[ 2023-09-07 17:29:17,860 ] 108 root - INFO - Best found model on both training and testing dataset
