[ 2023-09-07 19:19:54,629 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-09-07 19:19:56,305 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 19:19:56,351 ] 33 root - INFO - Train test split initiated
[ 2023-09-07 19:19:56,409 ] 40 root - INFO - Ingestion of the data is completed
[ 2023-09-07 19:19:56,410 ] 21 root - INFO - Entered the data cleaning method or component
[ 2023-09-07 19:19:56,445 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 19:19:56,461 ] 33 root - INFO - processing the training dataset as dataframe
[ 2023-09-07 19:19:56,760 ] 76 root - INFO - processingthe test dataset as dataframe
[ 2023-09-07 19:19:56,775 ] 90 root - INFO - ended the loop
[ 2023-09-07 19:19:56,775 ] 105 root - INFO - ended the loop
[ 2023-09-07 19:19:56,775 ] 107 root - INFO - returning done
[ 2023-09-07 19:19:56,775 ] 110 root - INFO - directory created
[ 2023-09-07 19:19:56,808 ] 114 root - INFO - df1 saved
[ 2023-09-07 19:19:56,815 ] 116 root - INFO - df2 saved
[ 2023-09-07 19:19:56,815 ] 118 root - INFO - Train test data cleaned
[ 2023-09-07 19:19:56,857 ] 81 root - INFO - Read train and test data completed
[ 2023-09-07 19:19:56,857 ] 83 root - INFO - Obtaining preprocessing object
[ 2023-09-07 19:19:56,858 ] 55 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-09-07 19:19:56,858 ] 56 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-09-07 19:19:56,858 ] 68 root - INFO - Train test split initiated
[ 2023-09-07 19:19:56,861 ] 93 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-09-07 19:19:56,884 ] 99 root - INFO - Saved preprocessing object.
[ 2023-09-07 19:19:56,904 ] 35 root - INFO - Split training and test input data
[ 2023-09-07 19:27:03,406 ] 110 root - INFO - Best found model on both training and testing dataset
[ 2023-09-07 19:27:03,442 ] 134 root - INFO - mlflow starts
