[ 2023-09-07 19:51:25,900 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-09-07 19:51:27,635 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 19:51:27,686 ] 33 root - INFO - Train test split initiated
[ 2023-09-07 19:51:27,727 ] 40 root - INFO - Ingestion of the data is completed
[ 2023-09-07 19:51:27,734 ] 21 root - INFO - Entered the data cleaning method or component
[ 2023-09-07 19:51:27,924 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 19:51:27,952 ] 33 root - INFO - processing the training dataset as dataframe
[ 2023-09-07 19:51:28,231 ] 76 root - INFO - processingthe test dataset as dataframe
[ 2023-09-07 19:51:28,231 ] 90 root - INFO - ended the loop
[ 2023-09-07 19:51:28,246 ] 105 root - INFO - ended the loop
[ 2023-09-07 19:51:28,246 ] 107 root - INFO - returning done
[ 2023-09-07 19:51:28,246 ] 110 root - INFO - directory created
[ 2023-09-07 19:51:28,277 ] 114 root - INFO - df1 saved
[ 2023-09-07 19:51:28,286 ] 116 root - INFO - df2 saved
[ 2023-09-07 19:51:28,286 ] 118 root - INFO - Train test data cleaned
[ 2023-09-07 19:51:28,315 ] 81 root - INFO - Read train and test data completed
[ 2023-09-07 19:51:28,315 ] 83 root - INFO - Obtaining preprocessing object
[ 2023-09-07 19:51:28,315 ] 55 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-09-07 19:51:28,315 ] 56 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-09-07 19:51:28,315 ] 68 root - INFO - Train test split initiated
[ 2023-09-07 19:51:28,315 ] 93 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-09-07 19:51:28,362 ] 99 root - INFO - Saved preprocessing object.
[ 2023-09-07 19:51:28,372 ] 35 root - INFO - Split training and test input data
[ 2023-09-07 19:58:58,882 ] 110 root - INFO - Best found model on both training and testing dataset
[ 2023-09-07 19:58:58,916 ] 134 root - INFO - mlflow starts
