[ 2023-09-07 13:53:23,535 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-09-07 13:53:25,349 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 13:53:25,404 ] 33 root - INFO - Train test split initiated
[ 2023-09-07 13:53:25,456 ] 40 root - INFO - Ingestion of the data is completed
[ 2023-09-07 13:53:25,458 ] 21 root - INFO - Entered the data cleaning method or component
[ 2023-09-07 13:53:25,506 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 13:53:25,528 ] 33 root - INFO - processing the training dataset as dataframe
[ 2023-09-07 13:53:25,831 ] 76 root - INFO - processingthe test dataset as dataframe
[ 2023-09-07 13:53:25,847 ] 90 root - INFO - ended the loop
[ 2023-09-07 13:53:25,847 ] 105 root - INFO - ended the loop
[ 2023-09-07 13:53:25,847 ] 107 root - INFO - returning done
[ 2023-09-07 13:53:25,847 ] 110 root - INFO - directory created
[ 2023-09-07 13:53:25,890 ] 114 root - INFO - df1 saved
[ 2023-09-07 13:53:25,898 ] 116 root - INFO - df2 saved
[ 2023-09-07 13:53:25,898 ] 118 root - INFO - Train test data cleaned
[ 2023-09-07 13:53:25,930 ] 85 root - INFO - Read train and test data completed
[ 2023-09-07 13:53:25,930 ] 87 root - INFO - Obtaining preprocessing object
[ 2023-09-07 13:53:25,930 ] 57 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-09-07 13:53:25,930 ] 58 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-09-07 13:53:25,930 ] 70 root - INFO - Train test split initiated
[ 2023-09-07 13:53:25,942 ] 97 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-09-07 13:53:25,973 ] 103 root - INFO - Saved preprocessing object.
[ 2023-09-07 13:53:25,986 ] 35 root - INFO - Split training and test input data
[ 2023-09-07 13:59:48,485 ] 108 root - INFO - Best found model on both training and testing dataset
