[ 2023-08-24 20:47:12,018 ] 25 root - INFO - Entered the data ingestion method or component
[ 2023-08-24 20:47:13,498 ] 28 root - INFO - Read the dataset as dataframe
[ 2023-08-24 20:47:13,540 ] 35 root - INFO - Train test split initiated
[ 2023-08-24 20:47:13,603 ] 45 root - INFO - Inmgestion of the data iss completed
[ 2023-08-24 20:47:13,609 ] 29 root - INFO - Entered the data cleaning method or component
[ 2023-08-24 20:47:13,658 ] 34 root - INFO - Read the dataset as dataframe
[ 2023-08-24 20:47:13,673 ] 41 root - INFO - processingthe training dataset as dataframe
[ 2023-08-24 20:47:13,939 ] 84 root - INFO - processingthe test dataset as dataframe
[ 2023-08-24 20:47:13,939 ] 98 root - INFO - ended the loop
[ 2023-08-24 20:47:13,951 ] 113 root - INFO - ended he loop
[ 2023-08-24 20:47:13,951 ] 115 root - INFO - returning done
[ 2023-08-24 20:47:13,951 ] 118 root - INFO - directory created
[ 2023-08-24 20:47:13,971 ] 122 root - INFO - df1 saved
[ 2023-08-24 20:47:13,984 ] 124 root - INFO - df2 saved
[ 2023-08-24 20:47:13,988 ] 126 root - INFO - Train test data cleaned
[ 2023-08-24 20:47:14,008 ] 87 root - INFO - Read train and test data completed
[ 2023-08-24 20:47:14,008 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-08-24 20:47:14,008 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-08-24 20:47:14,008 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-08-24 20:47:14,008 ] 72 root - INFO - Train test split initiated
[ 2023-08-24 20:47:14,008 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-08-24 20:47:14,047 ] 105 root - INFO - Saved preprocessing object.
[ 2023-08-24 20:47:14,063 ] 33 root - INFO - Split training and test input data
[ 2023-08-24 20:55:14,334 ] 102 root - INFO - Best found model on both training and testing dataset
