[ 2023-09-07 18:36:37,907 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-09-07 18:36:39,538 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 18:36:39,583 ] 33 root - INFO - Train test split initiated
[ 2023-09-07 18:36:39,644 ] 40 root - INFO - Ingestion of the data is completed
[ 2023-09-07 18:36:39,645 ] 21 root - INFO - Entered the data cleaning method or component
[ 2023-09-07 18:36:39,704 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-09-07 18:36:39,735 ] 33 root - INFO - processing the training dataset as dataframe
[ 2023-09-07 18:36:40,023 ] 76 root - INFO - processingthe test dataset as dataframe
[ 2023-09-07 18:36:40,023 ] 90 root - INFO - ended the loop
[ 2023-09-07 18:36:40,026 ] 105 root - INFO - ended the loop
[ 2023-09-07 18:36:40,026 ] 107 root - INFO - returning done
[ 2023-09-07 18:36:40,026 ] 110 root - INFO - directory created
[ 2023-09-07 18:36:40,061 ] 114 root - INFO - df1 saved
[ 2023-09-07 18:36:40,072 ] 116 root - INFO - df2 saved
[ 2023-09-07 18:36:40,072 ] 118 root - INFO - Train test data cleaned
[ 2023-09-07 18:36:40,099 ] 81 root - INFO - Read train and test data completed
[ 2023-09-07 18:36:40,099 ] 83 root - INFO - Obtaining preprocessing object
[ 2023-09-07 18:36:40,099 ] 55 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-09-07 18:36:40,099 ] 56 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-09-07 18:36:40,099 ] 68 root - INFO - Train test split initiated
[ 2023-09-07 18:36:40,114 ] 93 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-09-07 18:36:40,146 ] 99 root - INFO - Saved preprocessing object.
[ 2023-09-07 18:36:40,158 ] 35 root - INFO - Split training and test input data
[ 2023-09-07 18:45:58,165 ] 105 root - INFO - Best found model on both training and testing dataset
